"Order ID";"Order Date";"Ship Date";"Ship Mode"
"CA-2017-152156";"8/11/17";"11/11/17";"Second Class"
"CA-2017-152156";"8/11/17";"11/11/17";"Second Class"
"CA-2017-138688";"12/6/17";"16/06/2017";"Second Class"
"US-2016-108966";"11/10/16";"18/10/2016";"Standard Class"
"US-2016-108966";"11/10/16";"18/10/2016";"Standard Class"
"CA-2015-115812";"9/6/15";"14/06/2015";"Standard Class"
"CA-2015-115812";"9/6/15";"14/06/2015";"Standard Class"
"CA-2015-115812";"9/6/15";"14/06/2015";"Standard Class"
"CA-2015-115812";"9/6/15";"14/06/2015";"Standard Class"
"CA-2015-115812";"9/6/15";"14/06/2015";"Standard Class"
"CA-2015-115812";"9/6/15";"14/06/2015";"Standard Class"
"CA-2015-115812";"9/6/15";"14/06/2015";"Standard Class"
"CA-2018-114412";"15/04/2018";"20/04/2018";"Standard Class"
"CA-2017-161389";"5/12/17";"10/12/17";"Standard Class"
"US-2016-118983";"22/11/2016";"26/11/2016";"Standard Class"
"US-2016-118983";"22/11/2016";"26/11/2016";"Standard Class"
"CA-2015-105893";"11/11/15";"18/11/2015";"Standard Class"
"CA-2015-167164";"13/05/2015";"15/05/2015";"Second Class"
"CA-2015-143336";"27/08/2015";"1/9/15";"Second Class"
"CA-2015-143336";"27/08/2015";"1/9/15";"Second Class"
"CA-2015-143336";"27/08/2015";"1/9/15";"Second Class"
"CA-2017-137330";"9/12/17";"13/12/2017";"Standard Class"
"CA-2017-137330";"9/12/17";"13/12/2017";"Standard Class"
"US-2018-156909";"16/07/2018";"18/07/2018";"Second Class"
"CA-2016-106320";"25/09/2016";"30/09/2016";"Standard Class"
"CA-2017-121755";"16/01/2017";"20/01/2017";"Second Class"
"CA-2017-121755";"16/01/2017";"20/01/2017";"Second Class"
"US-2016-150630";"17/09/2016";"21/09/2016";"Standard Class"
"US-2016-150630";"17/09/2016";"21/09/2016";"Standard Class"
"US-2016-150630";"17/09/2016";"21/09/2016";"Standard Class"
"US-2016-150630";"17/09/2016";"21/09/2016";"Standard Class"
"US-2016-150630";"17/09/2016";"21/09/2016";"Standard Class"
"US-2016-150630";"17/09/2016";"21/09/2016";"Standard Class"
"US-2016-150630";"17/09/2016";"21/09/2016";"Standard Class"
"CA-2018-107727";"19/10/2018";"23/10/2018";"Second Class"
"CA-2017-117590";"8/12/17";"10/12/17";"First Class"
"CA-2017-117590";"8/12/17";"10/12/17";"First Class"
"CA-2016-117415";"27/12/2016";"31/12/2016";"Standard Class"
"CA-2016-117415";"27/12/2016";"31/12/2016";"Standard Class"
"CA-2016-117415";"27/12/2016";"31/12/2016";"Standard Class"
"CA-2016-117415";"27/12/2016";"31/12/2016";"Standard Class"
"CA-2018-120999";"10/9/18";"15/09/2018";"Standard Class"
