"Product ID";"Category";"Sub-Category";"Product Name";"Cost";"Price";"Profit";"Quantity";"Sales";"Customer ID"
"FUR-BO-10001798";"Furniture";"Bookcases";"Bush Somerset Collection Bookcase";464;901;437;4;3604;"CG-12520"
"FUR-CH-10000454";"Furniture";"Chairs";"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back";756;139;-617;12;1664;"CG-12520"
"OFF-LA-10000240";"Office Supplies";"Labels";"Self-Adhesive Address Labels for Typewriters by Universal";538;159;-378;12;1911;"DV-13045"
"FUR-TA-10000577";"Furniture";"Tables";"Bretford CR4500 Series Slim Rectangular Table";876;446;-430;13;5796;"SO-20335"
"OFF-ST-10000760";"Office Supplies";"Storage";"Eldon Fold 'N Roll Cart System";187;138;-50;19;2614;"SO-20335"
"FUR-FU-10001487";"Furniture";"Furnishings";"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood";796;162;-633;19;3081;"BH-11710"
"OFF-AR-10002833";"Office Supplies";"Art";"Newell 322";711;172;-539;24;4134;"BH-11710"
"TEC-PH-10002275";"Technology";"Phones";"Mitel 5320 IP Phone VoIP phone";378;940;562;7;6579;"BH-11710"
"OFF-BI-10003910";"Office Supplies";"Binders";"DXL Angle-View Binders with Locking Rings by Samsill";686;783;97;25;19585;"BH-11710"
"OFF-AP-10002892";"Office Supplies";"Appliances";"Belkin F5C206VTEL 6 Outlet Surge";124;824;700;9;7418;"BH-11710"
"FUR-TA-10001539";"Furniture";"Tables";"Chromcraft Rectangular Conference Tables";742;747;5;15;11209;"BH-11710"
"TEC-PH-10002033";"Technology";"Phones";"Konftel 250 Conference phone - Charcoal black";213;908;695;16;14534;"BH-11710"
"OFF-PA-10002365";"Office Supplies";"Paper";"Xerox 1967";60;764;704;15;11459;"AA-10480"
"OFF-BI-10003656";"Office Supplies";"Binders";"Fellowes PB200 Plastic Comb Binding Machine";675;853;178;25;21321;"IM-15070"
"OFF-AP-10002311";"Office Supplies";"Appliances";"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter";803;725;-78;1;725;"HP-14815"
"OFF-BI-10000756";"Office Supplies";"Binders";"Storex DuraTech Recycled Plastic Frosted Binders";352;587;235;22;12904;"HP-14815"
"OFF-ST-10004186";"Office Supplies";"Storage";"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";143;170;27;12;2043;"PK-19075"
"OFF-ST-10000107";"Office Supplies";"Storage";"Fellowes Super Stor/Drawer";827;819;-7;12;9833;"AG-10270"
"OFF-AR-10003056";"Office Supplies";"Art";"Newell 341";354;193;-161;17;3288;"ZD-21925"
"TEC-PH-10001949";"Technology";"Phones";"Cisco SPA 501G IP Phone";602;386;-217;9;3473;"ZD-21925"
"OFF-BI-10002215";"Office Supplies";"Binders";"Wilson Jones Hanging View Binder, White, 1""";528;835;308;6;5013;"ZD-21925"
"OFF-AR-10000246";"Office Supplies";"Art";"Newell 318";154;565;411;8;4516;"KB-16585"
"OFF-AP-10001492";"Office Supplies";"Appliances";"Acco Six-Outlet Power Strip, 4' Cord Length";970;73;-896;2;146;"KB-16585"
"FUR-CH-10002774";"Furniture";"Chairs";"Global Deluxe Stacking Chair, Gray";541;458;-83;17;7793;"SF-20065"
"FUR-TA-10000577";"Furniture";"Tables";"Bretford CR4500 Series Slim Rectangular Table";203;797;594;22;17539;"EB-13870"
"OFF-BI-10001634";"Office Supplies";"Binders";"Wilson Jones Active Use Binders";586;773;187;6;4638;"EH-13945"
"TEC-AC-10003027";"Technology";"Accessories";"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive";184;370;186;22;8132;"EH-13945"
"FUR-BO-10004834";"Furniture";"Bookcases";"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish";189;743;554;15;11145;"TB-21520"
"OFF-BI-10000474";"Office Supplies";"Binders";"Avery Recycled Flexi-View Covers for Binding Systems";729;671;-58;5;3354;"TB-21520"
"FUR-FU-10004848";"Furniture";"Furnishings";"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";369;957;588;18;17232;"TB-21520"
"OFF-EN-10001509";"Office Supplies";"Envelopes";"Poly String Tie Envelopes";943;968;25;21;20338;"TB-21520"
"OFF-AR-10004042";"Office Supplies";"Art";"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain";517;762;245;15;11433;"TB-21520"
"OFF-BI-10001525";"Office Supplies";"Binders";"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";297;763;466;7;5342;"TB-21520"
"OFF-AR-10001683";"Office Supplies";"Art";"Lumber Crayons";281;601;320;14;8411;"TB-21520"
"OFF-PA-10000249";"Office Supplies";"Paper";"Easy-staple paper";501;562;61;3;1686;"MA-17560"
"TEC-PH-10004977";"Technology";"Phones";"GE 30524EE4";702;580;-122;7;4063;"GH-14485"
"FUR-FU-10003664";"Furniture";"Furnishings";"Electrix Architect's Clamp-On Swing Arm Lamp, Black";817;333;-484;4;1330;"GH-14485"
"OFF-EN-10002986";"Office Supplies";"Envelopes";"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";867;75;-792;9;675;"SN-20710"
"FUR-BO-10002545";"Furniture";"Bookcases";"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors";916;619;-297;18;11137;"SN-20710"
"FUR-CH-10004218";"Furniture";"Chairs";"Global Fabric Manager's Chair, Dark Gray";990;399;-591;22;8788;"SN-20710"
"TEC-PH-10000486";"Technology";"Phones";"Plantronics HL10 Handset Lifter";827;360;-467;7;2518;"SN-20710"
"TEC-PH-10004093";"Technology";"Phones";"Panasonic Kx-TS550";429;31;-398;10;307;"LC-16930"
"OFF-ST-10003479";"Office Supplies";"Storage";"Eldon Base for stackable storage shelf, platinum";206;995;790;23;22894;"RA-19885"
"OFF-ST-10003282";"Office Supplies";"Storage";"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers";913;243;-670;10;2429;"ES-14080"
"TEC-AC-10000171";"Technology";"Accessories";"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack";542;650;108;1;650;"ON-18715"
"OFF-BI-10003291";"Office Supplies";"Binders";"Wilson Jones Leather-Like Binders with DublLock Round Rings";282;283;1;25;7082;"ON-18715"
"OFF-ST-10001713";"Office Supplies";"Storage";"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black";24;802;778;7;5614;"PO-18865"
"TEC-AC-10002167";"Technology";"Accessories";"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive";185;818;633;6;4909;"LH-16900"
"TEC-PH-10003988";"Technology";"Phones";"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite";619;903;284;21;18964;"LH-16900"
"OFF-BI-10004410";"Office Supplies";"Binders";"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack";87;736;649;17;12516;"DP-13000"
"OFF-LA-10002762";"Office Supplies";"Labels";"Avery 485";243;953;711;7;6673;"DP-13000"
"FUR-FU-10001706";"Furniture";"Furnishings";"Longer-Life Soft White Bulbs";357;764;406;19;14508;"DP-13000"
"FUR-CH-10003061";"Furniture";"Chairs";"Global Leather Task Chair, Black";137;587;450;22;12917;"DP-13000"
"OFF-FA-10000304";"Office Supplies";"Fasteners";"Advantus Push Pins";751;35;-716;1;35;"JM-15265"
"TEC-PH-10002447";"Technology";"Phones";"AT&T CL83451 4-Handset Telephone";963;996;32;16;15931;"JM-15265"
"OFF-ST-10000604";"Office Supplies";"Storage";"Home/Office Personal File Carts";805;437;-368;18;7868;"TB-21055"
"OFF-PA-10001569";"Office Supplies";"Paper";"Xerox 232";393;157;-235;17;2674;"TB-21055"
"FUR-CH-10003968";"Furniture";"Chairs";"Novimex Turbo Task Chair";87;2;-86;15;23;"TB-21055"
"OFF-PA-10000587";"Office Supplies";"Paper";"Array Parchment Paper, Assorted Colors";488;43;-446;16;681;"TB-21055"
"TEC-AC-10002167";"Technology";"Accessories";"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive";159;360;201;8;2884;"TB-21055"
"OFF-BI-10001460";"Office Supplies";"Binders";"Plastic Binding Combs";957;503;-454;25;12571;"TB-21055"
"OFF-AR-10001868";"Office Supplies";"Art";"Prang Dustless Chalk Sticks";306;295;-11;12;3543;"TB-21055"
"TEC-AC-10004633";"Technology";"Accessories";"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack";636;684;48;21;14360;"KM-16720"
"OFF-BI-10001078";"Office Supplies";"Binders";"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";391;741;349;19;14073;"KM-16720"
"OFF-PA-10003892";"Office Supplies";"Paper";"Xerox 1943";856;198;-658;9;1784;"KM-16720"
"FUR-FU-10000397";"Furniture";"Furnishings";"Luxo Economy Swing Arm Lamp";145;413;268;2;826;"KM-16720"
"FUR-CH-10001146";"Furniture";"Chairs";"Global Value Mid-Back Manager's Chair, Gray";351;390;40;25;9760;"PS-18970"
"OFF-AR-10002671";"Office Supplies";"Art";"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige";306;465;159;9;4186;"BS-11590"
"TEC-PH-10002726";"Technology";"Phones";"netTALK DUO VoIP Telephone Service";675;263;-412;8;2102;"BS-11590"
"OFF-PA-10000482";"Office Supplies";"Paper";"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate";623;979;355;10;9787;"KD-16270"
"OFF-BI-10004654";"Office Supplies";"Binders";"Avery Binding System Hidden Tab Executive Style Index Sets";161;676;515;8;5410;"HM-14980"
"OFF-PA-10004675";"Office Supplies";"Paper";"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";190;14;-176;18;259;"TB-21520"
"FUR-CH-10000513";"Furniture";"Chairs";"High-Back Leather Manager's Chair";891;455;-436;19;8643;"JE-15745"
"FUR-FU-10003708";"Furniture";"Furnishings";"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";336;476;140;10;4761;"JE-15745"
"OFF-ST-10004123";"Office Supplies";"Storage";"Safco Industrial Wire Shelving System";470;690;220;4;2759;"JE-15745"
"OFF-BI-10004182";"Office Supplies";"Binders";"Economy Binders";284;295;12;19;5609;"KB-16600"
"FUR-FU-10000260";"Furniture";"Furnishings";"6"" Cubicle Wall Clock, Black";316;195;-121;2;390;"KB-16600"
"OFF-ST-10000615";"Office Supplies";"Storage";"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h";791;943;152;18;16979;"KB-16600"
"FUR-FU-10003194";"Furniture";"Furnishings";"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak";697;123;-574;24;2940;"JE-15745"
"OFF-AP-10002118";"Office Supplies";"Appliances";"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";388;319;-69;25;7979;"SC-20770"
"OFF-BI-10002309";"Office Supplies";"Binders";"Avery Heavy-Duty EZD  Binder With Locking Rings";163;20;-143;5;100;"SC-20770"
"OFF-AR-10002053";"Office Supplies";"Art";"Premium Writing Pencils, Soft, #2 by Central Association for the Blind";242;516;275;1;516;"DN-13690"
"OFF-ST-10002370";"Office Supplies";"Storage";"Sortfiler Multipurpose Personal File Organizer, Black";58;955;897;17;16231;"DN-13690"
"OFF-EN-10000927";"Office Supplies";"Envelopes";"Jet-Pak Recycled Peel 'N' Seal Padded Mailers";69;775;705;23;17819;"JC-16105"
"OFF-ST-10003656";"Office Supplies";"Storage";"Safco Industrial Wire Shelving";90;229;139;19;4344;"CS-12400"
